Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
74,Temple,5,6,-0.11,1.24,120,0.62,121,1.46,119,4.03,118,1.36,6,0.71,17,1.53,8,3.84,2
75,UAB,5,6,-0.16,2.04,71,1.58,50,2.14,76,4.51,98,2.20,71,0.71,16,2.52,90,5.09,78
76,Michigan,5,7,-0.18,1.56,106,0.89,105,1.68,108,4.29,109,1.75,26,0.88,25,1.98,34,5.29,100
77,Northwestern,4,7,-0.28,1.60,103,1.53,57,1.62,110,4.57,92,1.88,40,1.09,39,2.04,42,4.55,21
78,South Alabama,6,7,-0.33,1.69,99,1.41,63,1.74,103,4.93,74,2.02,59,1.05,35,2.38,75,4.54,20
79,Rutgers,7,5,-0.36,2.10,67,0.92,101,2.39,59,5.30,39,2.46,94,1.00,32,2.67,97,5.34,105
80,Buffalo,3,6,-0.39,2.32,49,0.94,100,2.60,41,5.35,32,2.72,107,1.25,48,2.99,110,5.62,121
81,Maryland,6,6,-0.40,1.80,90,0.72,113,2.07,83,5.68,5,2.20,72,0.83,19,2.45,82,4.86,53
82,Oklahoma State,6,6,-0.40,1.86,87,1.53,58,1.95,91,5.02,64,2.25,79,2.53,116,2.17,56,5.35,108
83,Middle Tennessee,5,6,-0.41,2.13,60,0.68,115,2.46,53,4.44,100,2.54,99,1.30,51,2.80,105,5.05,73
84,Kentucky,4,7,-0.45,1.88,86,1.27,79,2.03,84,5.00,67,2.33,84,2.14,99,2.40,77,5.11,80
85,Akron,4,7,-0.45,1.52,110,1.63,46,1.50,114,3.86,122,1.97,53,1.00,30,2.30,65,4.76,42
86,Bowling Green,7,6,-0.46,1.91,80,1.60,48,2.02,85,4.44,99,2.38,89,1.79,84,2.51,88,5.22,94
87,Ohio,5,6,-0.47,1.53,107,0.92,103,1.78,99,3.36,127,2.00,57,1.33,53,2.11,51,4.96,68
88,California,4,7,-0.48,2.57,29,1.57,51,2.81,24,5.57,11,3.05,120,3.22,128,3.01,111,5.53,118
89,Massachusetts,3,9,-0.50,2.12,63,1.50,60,2.25,70,4.69,83,2.62,105,2.82,121,2.58,93,4.81,49
90,UTSA,4,8,-0.51,1.31,118,0.87,108,1.43,120,4.19,113,1.82,34,1.89,93,1.79,17,4.57,24
91,Louisiana Monroe,4,8,-0.51,1.44,113,1.40,64,1.46,118,3.82,123,1.95,49,1.31,52,2.09,46,4.87,55
92,Oregon State,4,7,-0.53,2.00,74,1.71,43,2.11,80,5.12,56,2.53,98,1.68,82,2.77,102,5.15,82
93,Florida International,3,7,-0.56,1.42,114,0.45,127,1.75,102,5.00,68,1.98,55,1.65,78,2.03,40,4.16,11
94,Hawaii,3,9,-0.57,1.59,104,1.28,76,1.70,107,4.55,93,2.16,68,2.21,101,2.14,53,5.35,110
95,Old Dominion,5,6,-0.61,2.69,20,1.96,29,2.89,22,5.29,41,3.30,126,1.40,62,3.58,126,5.48,115
96,Illinois,5,7,-0.63,1.78,93,1.27,78,1.87,93,4.33,106,2.41,92,1.81,86,2.56,91,5.09,77
97,Indiana,3,8,-0.65,1.65,102,1.44,61,1.72,105,5.25,44,2.30,83,1.83,89,2.39,76,5.35,109
98,Florida Atlantic,3,9,-0.71,1.88,84,1.33,71,1.98,87,4.54,94,2.59,102,1.41,66,2.91,106,5.17,86
99,Texas Tech,3,8,-0.75,2.26,52,2.29,16,2.25,69,5.21,46,3.01,118,2.87,122,3.05,113,5.19,89
100,Colorado,2,10,-0.77,2.11,65,0.96,98,2.35,65,5.33,35,2.88,112,2.09,98,3.10,116,5.32,104
101,New Mexico,4,8,-0.78,2.23,54,1.34,70,2.51,48,5.60,7,3.01,117,2.93,125,3.03,112,5.43,113
102,Washington State,2,9,-0.80,2.09,68,1.57,53,2.24,72,5.09,59,2.89,113,1.82,87,3.18,120,5.19,88
103,Tulane,2,9,-0.81,1.13,124,1.18,84,1.11,127,3.48,125,1.94,47,2.42,110,1.82,19,3.98,7
104,Fresno State,5,8,-0.82,1.66,101,1.57,52,1.68,109,4.10,116,2.47,95,2.45,112,2.48,86,5.44,114
105,Miami (OH),2,9,-0.84,1.92,79,1.12,91,2.13,78,4.82,78,2.77,109,1.23,47,3.10,115,4.72,38
106,Kent State,2,9,-0.86,1.37,117,0.88,106,1.49,115,4.03,119,2.23,76,1.41,64,2.57,92,4.90,57
107,Syracuse,2,9,-0.87,1.01,125,0.62,119,1.17,124,2.79,128,1.88,39,1.36,58,2.03,41,4.84,50
108,Purdue,2,9,-0.88,1.71,98,1.31,74,1.81,95,4.35,105,2.58,101,2.44,111,2.60,94,4.79,44
109,North Carolina,5,7,-0.92,2.16,57,1.21,83,2.36,64,5.18,50,3.08,124,2.38,109,3.33,121,5.87,126
110,Army,3,7,-0.94,2.11,66,0.67,117,2.51,47,5.07,60,3.04,119,1.35,57,3.47,125,5.54,119
111,North Texas,3,8,-0.95,1.41,116,1.11,92,1.47,117,4.61,87,2.36,88,1.35,55,2.64,95,6.18,128
112,Wake Forest,2,9,-1.00,0.95,127,0.68,116,1.02,128,3.48,126,1.95,51,1.04,34,2.20,57,4.71,37
113,South Florida,3,8,-1.06,1.29,119,0.65,118,1.48,116,4.04,117,2.35,87,1.37,59,2.71,99,5.31,102
114,Idaho,1,10,-1.06,1.93,78,1.08,95,2.13,79,4.22,112,2.99,114,2.52,115,3.14,118,5.34,107
115,Connecticut,1,10,-1.08,1.20,122,1.10,93,1.24,121,4.16,114,2.29,82,1.40,61,2.46,83,4.95,66
116,Tulsa,2,10,-1.10,1.75,95,0.77,112,1.99,86,4.15,115,2.85,111,2.50,114,2.94,109,5.61,120
117,San Jose State,2,9,-1.10,1.52,108,1.31,75,1.58,111,3.56,124,2.61,104,2.33,107,2.66,96,5.15,84
118,Wyoming,3,8,-1.16,1.57,105,1.76,38,1.51,113,4.54,95,2.73,108,2.36,108,2.78,103,4.98,70
119,Iowa State,2,9,-1.21,1.79,92,1.73,42,1.80,97,4.57,91,3.00,116,2.73,120,3.12,117,5.37,112
120,New Mexico State,1,10,-1.26,1.74,96,1.62,47,1.76,101,4.80,80,2.99,115,1.59,76,3.35,122,5.19,92
121,Kansas,2,9,-1.27,1.21,121,1.55,54,1.12,126,4.58,90,2.48,96,1.48,69,2.73,100,4.79,45
122,Troy,3,8,-1.33,1.83,89,1.42,62,1.95,90,4.00,120,3.16,125,3.06,127,3.18,119,5.19,91
123,UNLV,1,11,-1.39,1.68,100,1.23,81,1.79,98,4.28,111,3.07,122,2.00,96,3.43,124,5.70,125
124,Southern Mississippi,2,9,-1.40,1.41,115,0.90,104,1.57,112,4.30,107,2.81,110,2.88,123,2.80,104,5.16,85
125,Vanderbilt,2,9,-1.47,1.13,123,0.96,99,1.18,123,5.52,14,2.61,103,1.29,50,2.91,107,5.49,116
126,Georgia State,0,11,-1.97,1.79,91,2.03,25,1.71,106,5.32,36,3.76,128,2.59,119,3.97,128,6.10,127
127,SMU,1,11,-2.14,0.93,128,0.10,128,1.18,122,3.87,121,3.07,123,1.57,74,3.38,123,4.92,61
128,Eastern Michigan,1,10,-2.38,0.98,126,0.46,126,1.14,125,5.19,48,3.36,127,2.46,113,3.60,127,5.62,122
