Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
103,Nebraska,4,8,-0.81,1.98,83,2.21,22,1.65,94,3.05,86,2.79,109,2.00,89,2.74,114,4.00,104
104,North Carolina,2,9,-0.82,1.53,114,0.30,129,1.30,114,4.00,22,2.35,77,1.03,32,2.85,116,2.96,43
105,Akron,6,7,-0.85,1.51,115,0.64,118,1.29,115,3.30,71,2.36,78,2.29,106,1.84,54,3.88,98
106,Tulsa,2,10,-0.88,2.21,55,1.57,59,2.30,38,3.38,62,3.10,118,3.04,128,3.00,120,3.57,78
107,Georgia Southern,2,9,-0.92,1.70,105,1.12,92,1.48,109,2.88,99,2.61,101,0.47,3,2.58,103,3.89,99
108,Old Dominion,4,7,-0.95,1.48,117,1.25,84,1.49,107,1.81,125,2.43,85,1.31,56,2.00,68,3.97,102
109,Baylor,1,10,-0.98,1.66,107,1.00,102,1.55,103,3.41,57,2.64,104,2.25,104,2.49,98,3.39,66
110,Tennessee,3,8,-1.04,1.42,119,0.80,114,1.18,120,3.15,82,2.46,88,2.19,102,2.28,83,3.28,58
111,Arkansas,3,8,-1.05,2.10,69,1.33,77,2.09,53,3.50,52,3.15,123,1.73,77,3.45,126,4.04,105
112,South Alabama,3,8,-1.05,1.34,123,1.00,102,1.13,121,2.57,111,2.39,82,2.00,89,2.44,94,2.76,27
113,Bowling Green,2,9,-1.06,1.87,89,1.09,96,1.82,82,2.86,101,2.93,116,2.45,111,2.60,104,4.81,126
114,Cincinnati,3,8,-1.10,1.76,100,0.84,110,1.99,62,2.18,122,2.86,114,2.41,109,3.08,123,2.78,29
115,Maryland,3,8,-1.21,1.57,113,0.93,106,1.27,117,3.43,56,2.78,108,1.29,55,2.95,119,3.64,87
116,Texas State,1,10,-1.26,1.37,121,1.90,32,1.03,127,3.00,91,2.63,103,2.30,108,2.38,90,3.57,78
117,Rutgers,3,8,-1.27,1.17,125,0.09,130,1.58,100,1.76,128,2.45,86,2.04,95,2.39,91,2.93,42
118,New Mexico,2,9,-1.36,1.43,118,1.26,83,1.27,118,2.30,118,2.79,110,2.58,116,2.27,82,5.41,129
119,Connecticut,2,9,-1.45,1.68,106,1.14,90,1.65,95,2.81,102,3.13,121,2.00,89,3.23,124,4.17,109
120,Hawaii,2,9,-1.45,1.75,101,2.03,29,1.42,111,3.08,85,3.20,124,1.52,66,3.38,125,4.50,122
121,Illinois,2,10,-1.47,1.05,126,0.64,118,1.04,126,1.80,126,2.52,93,2.09,98,2.26,81,3.59,83
122,Charlotte,1,10,-1.58,0.97,128,0.61,120,0.63,129,2.70,105,2.55,96,1.26,51,2.66,108,3.82,97
123,Kent State,1,10,-1.76,0.86,130,1.14,89,0.68,128,1.13,129,2.62,102,2.92,125,2.12,73,3.42,68
124,East Carolina,3,8,-1.78,2.03,80,1.63,53,2.11,51,2.00,123,3.80,129,3.00,127,3.74,130,5.06,128
125,Ball State,1,10,-1.91,1.37,122,0.56,123,1.35,113,2.87,100,3.28,126,2.04,96,3.07,122,4.71,125
126,Rice,1,11,-1.99,1.37,120,1.08,98,1.37,112,1.93,124,3.36,127,1.74,78,3.49,127,4.61,124
127,Kansas,0,11,-2.12,1.27,124,1.18,86,1.13,122,2.54,113,3.39,128,2.81,122,2.69,111,4.58,123
128,UTEP,0,12,-2.21,1.00,127,0.90,107,1.05,125,0.93,130,3.21,125,3.65,130,2.70,112,4.82,127
129,San Jose State,1,11,-2.25,0.88,129,0.48,125,0.52,130,3.33,68,3.12,120,2.50,114,2.93,118,3.97,103
130,Oregon State,0,11,-2.26,1.59,112,0.43,126,1.69,91,3.40,58,3.85,130,2.70,120,3.56,129,5.54,130
